Filename;Word;Vowel;F1 50%;F2 50%;F3 50%;Analyst;Date;Settings
hfs1;hfs1;v2;448.71429239628094;1693.564237970187;2823.6076434667625;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs2;hfs2;v1;660.9805635586423;1591.84651022381;2851.415800096236;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs2;hfs2;v2;524.075481756836;1717.665645048807;2878.2958030580326;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs3;hfs3;v1;678.4730082416941;1719.189919926535;2673.3274985880917;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs3;hfs3;v2;527.0115512857677;1718.0132830101716;2868.1407942021056;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
ksp1;ksp1;v1;593.5946252049184;1757.2736244451803;2825.1741922019196;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
ksp1;ksp1;v2;593.1217042984637;1712.0300670174718;2898.8641588833502;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
ksp2;ksp2;v1;565.8617821922671;1894.593611406493;2939.600686222115;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
ksp2;ksp2;v2;582.2529571979924;1676.296870666097;2912.9822552107057;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
ksp3;ksp3;v1;582.89684983783;1873.877372783773;2885.085981099338;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
ksp3;ksp3;v2;592.8875216816132;1684.7547569877756;2871.934209857327;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
lbg1;lbg1;v1;692.3075984032124;1845.7604393314336;2816.953177047138;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
lbg1;lbg1;v2;446.80066273523175;2096.6934295300193;2900.582437419686;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
lbg2;lbg2;v1;605.9223897942924;1795.3333692271783;2825.9718820201083;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
lbg2;lbg2;v2;429.61462543573407;1790.5244881077651;2552.6796758593505;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
lbg3;lbg3;v1;651.1732811496282;1920.246332404004;2805.556434231449;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
lbg3;lbg3;v2;541.8252062473152;2291.543658454657;2785.766945769296;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
pkt1;pkt1;v1;565.1883816073514;2252.285541044118;2690.3679442646658;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
pkt1;pkt1;v2;510.47247568634816;2093.015085306456;2808.5773177459555;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
pkt2;pkt2;v1;539.6996145449492;2302.1475178408564;2806.3523027311107;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
pkt2;pkt2;v2;468.63556881605115;2000.5865008452972;2934.274394048869;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
pkt3;pkt3;v1;517.3066523706358;2131.1646570758685;3074.1212519276028;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
pkt3;pkt3;v2;512.075018826996;2067.22393330453;2828.940431039228;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
shk1;shk1;v1;677.2570239337153;1677.1114365196665;2882.308413644242;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
shk1;shk1;v2;478.93390221714054;2098.8479509236777;2501.7015547933092;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
shk2;shk2;v1;629.7738664456208;1714.197092234597;2894.7164762127904;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
shk2;shk2;v2;541.5576221103825;2036.7490326325046;2713.6817980541996;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
shk3;shk3;v1;657.8807058705496;1704.0845881499672;2900.9244215651793;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
shk3;shk3;v2;514.3286522047948;1955.1272312952012;2687.823038342638;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vdg1;vdg1;v1;636.2464381826792;1713.8289817853447;3041.1493656712905;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vdg1;vdg1;v2;412.5040935646641;2096.084064098724;3028.3822073977917;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vdg2;vdg2;v1;593.644956290077;1713.5512191697233;2938.1128708786264;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vdg2;vdg2;v2;373.17599556527017;1985.8810039195516;2785.814928220642;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vdg3;vdg3;v1;572.4934050019564;1701.088032339043;3004.3102928130106;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vdg3;vdg3;v2;393.13783535343083;2018.7307356551034;2840.6062245628514;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vgm1;vgm1;v1;548.8675995828494;1924.9767013694266;3589.265662263107;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vgm1;vgm1;v2;552.1633116052561;2113.6125682311713;2943.2454659956525;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vgm2;vgm2;v1;598.0598079792092;1993.6939149355103;2850.597770287678;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vgm2;vgm2;v2;670.9497176185273;2036.0796230973056;2875.6387973902124;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vgm3;vgm3;v1;650.4418051472719;1959.6214506945553;2833.8847460101565;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
vgm3;vgm3;v2;636.3485366568719;2062.0360462007525;2842.2484608548825;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
