simulation,generation,round,trial,referent,speaker,listener,lexeme,type,produced_x,produced_y,prob,evidence,success,old_guess_A,new_guess_A,old_guess_B,new_guess_B,old_stored_y_A,old_stored_y_B,new_stored_y_A,new_stored_y_B
1,2,2,2,1,B,A,A,small,0.012097322561103505,0.1126007715462821,0.46305857707813186,0.3883622645919497,1,0.30771367124135196,0.49111707373001195,0.6571825746432386,0.6571825746432386,0.14288401455009234,0.14288401455009234,0.12774239304818721,0.12774239304818721
1,2,2,3,4,B,A,D,large,0.992624702965906,0,0,-1,0,0.35062783990192187,0,0.24396406126457176,0.24396406126457176,0.5,0.5,0.5,0.5
1,2,2,4,2,A,B,B,large,0.33794763571347347,1,0.4081292916290029,1,0,0.22592750371700868,0.22592750371700868,0.008129291629002933,0.41175762024905554,0.3904172935921586,0.3904172935921586,0.3904172935921586,0.3904172935921586
1,2,3,1,3,B,A,C,small,0.6588271661975715,0,0.6474577766092805,1,1,0.2474577766092806,0.6726913911779755,0.19024902625279724,0.19024902625279724,0.016800384041557564,0.016800384041557564,0.008400192020778782,0.008400192020778782
1,2,3,2,4,A,B,D,large,0.9946542406466687,0.3029411241862812,0.24396406126457174,0,1,0,0,0.24396406126457176,0.2653064328535151,0.5,0.5,0.4014705620931406,0.4014705620931406
1,2,3,3,2,A,B,B,large,0.34625227328598285,0.2925394117056096,0.41175762024905554,0,1,0.22592750371700868,0.22592750371700868,0.41175762024905554,0.43925055389474915,0.3904172935921586,0.3904172935921586,0.3414783526488841,0.3414783526488841
1,2,3,4,1,B,A,A,small,0.009895842771668675,0.23177864038922807,0.49111707373001195,0,0,0.49111707373001195,0.4948663194003253,0.6571825746432386,0.6571825746432386,0.12774239304818721,0.12774239304818721,0.12774239304818721,0.12774239304818721
1,2,4,1,4,A,B,D,large,1.000427060079991,0.2649125133448689,0.265306432853515,0,0,0,0,0.2653064328535151,0.2682404908513005,0.4014705620931406,0.4014705620931406,0.4014705620931406,0.4014705620931406
1,2,4,2,3,B,A,C,small,0.66085674887929,0,0.9499999999999998,1,1,0.6726913911779755,0.9550811584492837,0.19024902625279724,0.19024902625279724,0.008400192020778782,0.008400192020778782,0.004200096010389391,0.004200096010389391
1,2,4,3,2,A,B,B,large,0.3227431756783386,0.7412597348180583,0.43925055389474915,0,0,0.22592750371700868,0.22592750371700868,0.43925055389474915,0.44294849685034154,0.3414783526488841,0.3414783526488841,0.3414783526488841,0.3414783526488841
